paper_id,source,gpt_5.4_overall,gemini_3.1_pro_overall,claude_opus_4.6_overall,synthesis_overall,reviewer_range_overall,reviewer_sd_overall
FA0001,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0005,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0006,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0007,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0013,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0015,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0020,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0021,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0035,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0042,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0046,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0063,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0067,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0077,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0080,Cycle Researcher,2.0,1,1,1,1.0,0.5773502691896257
FA0001,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0005,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0006,Data-to-Paper,1.0,1,1,1,0.0,0.0
FA0007,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0013,Data-to-Paper,2.0,2,1,2,1.0,0.5773502691896257
FA0015,Data-to-Paper,1.0,1,1,1,0.0,0.0
FA0020,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0021,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0035,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0042,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0046,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0063,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0067,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0077,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0080,Data-to-Paper,2.0,1,1,1,1.0,0.5773502691896257
FA0001,FARS,2.0,2,3,2,1.0,0.5773502691896258
FA0005,FARS,2.0,3,3,3,1.0,0.5773502691896258
FA0006,FARS,3.0,4,3,3,1.0,0.5773502691896258
FA0007,FARS,3.0,3,3,3,0.0,0.0
FA0013,FARS,2.0,2,2,2,0.0,0.0
FA0015,FARS,2.0,2,2,2,0.0,0.0
FA0020,FARS,2.0,2,2,2,0.0,0.0
FA0021,FARS,2.0,2,2,2,0.0,0.0
FA0035,FARS,2.0,4,2,2,2.0,1.1547005383792515
FA0042,FARS,,3,3,3,0.0,0.0
FA0046,FARS,2.0,2,2,2,0.0,0.0
FA0063,FARS,2.0,2,3,2,1.0,0.5773502691896258
FA0067,FARS,2.0,2,2,2,0.0,0.0
FA0077,FARS,2.0,3,2,2,1.0,0.5773502691896258
FA0080,FARS,2.0,1,3,2,2.0,1.0
FA0001,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0005,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0006,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0007,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0013,Sakana v1,1.0,1,1,1,0.0,0.0
FA0015,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0020,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0021,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0035,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0042,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0046,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0063,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0067,Sakana v1,1.0,1,1,1,0.0,0.0
FA0077,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0080,Sakana v1,2.0,1,1,1,1.0,0.5773502691896257
FA0001,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0005,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0006,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0007,Sakana v2,1.0,1,1,1,0.0,0.0
FA0013,Sakana v2,1.0,1,1,1,0.0,0.0
FA0015,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0020,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0021,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0035,Sakana v2,1.0,1,1,1,0.0,0.0
FA0042,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0046,Sakana v2,1.0,1,1,1,0.0,0.0
FA0063,Sakana v2,1.0,1,1,1,0.0,0.0
FA0067,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0077,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
FA0080,Sakana v2,2.0,1,1,1,1.0,0.5773502691896257
